iter	Passed	Remaining
405	5550	8121
406	5562	8105
407	5574	8089
408	5586	8072
409	5598	8056
410	5610	8040
411	5621	8023
412	5634	8008
413	5646	7992
414	5658	7975
415	5669	7959
416	5681	7943
417	5693	7927
418	5705	7910
419	5719	7898
420	5732	7883
421	5743	7867
422	5755	7851
423	5767	7835
424	5779	7819
425	5796	7810
426	5808	7794
427	5820	7778
428	5831	7762
429	5844	7746
430	5859	7735
431	5871	7719
432	5882	7703
433	5896	7690
434	5909	7675
435	5921	7660
436	5933	7644
437	5945	7628
438	5957	7612
439	5969	7597
440	5981	7581
441	5993	7565
442	6004	7549
443	6016	7533
444	6027	7517
445	6039	7501
446	6051	7486
447	6063	7470
448	6085	7468
449	6097	7452
450	6109	7437
451	6121	7421
452	6133	7405
453	6159	7407
454	6201	7428
455	6218	7419
456	6243	7418
457	6277	7429
458	6315	7443
459	6343	7446
460	6378	7457
461	6415	7470
462	6452	7483
463	6487	7494
464	6526	7508
465	6553	7509
466	6591	7523
467	6629	7535
468	6642	7521
469	6655	7505
470	6684	7507
471	6700	7494
472	6714	7480
473	6726	7464
474	6738	7447
475	6750	7430
476	6761	7413
477	6773	7396
478	6784	7379
479	6796	7362
480	6810	7348
481	6822	7332
482	6836	7317
483	6847	7300
484	6859	7283
485	6883	7279
486	6895	7263
487	6907	7246
488	6919	7230
489	6930	7213
490	6942	7197
491	6954	7180
492	6965	7163
493	6977	7147
494	6990	7131
495	7001	7114
496	7014	7098
497	7026	7082
498	7037	7066
499	7052	7052
500	7067	7038
501	7079	7022
502	7090	7005
503	7102	6989
504	7114	6973
505	7125	6956
506	7137	6940
507	7148	6923
508	7160	6907
509	7172	6890
510	7184	6875
511	7196	6858
512	7207	6842
513	7219	6826
514	7238	6816
515	7249	6799
516	7261	6783
517	7273	6767
518	7284	6751
519	7296	6734
520	7307	6718
521	7319	6702
522	7331	6686
523	7343	6671
524	7355	6655
525	7367	6639
526	7379	6623
527	7391	6607
528	7402	6591
529	7418	6578
530	7430	6562
531	7441	6546
532	7453	6530
533	7465	6514
534	7476	6498
535	7488	6482
536	7500	6466
537	7512	6450
538	7523	6435
539	7535	6419
540	7547	6403
541	7559	6387
542	7571	6372
543	7582	6356
544	7598	6344
545	7611	6328
546	7622	6312
547	7633	6296
548	7645	6280
549	7657	6265
550	7669	6249
551	7681	6234
552	7693	6218
553	7704	6202
554	7716	6187
555	7728	6171
556	7739	6155
557	7751	6139
558	7762	6124
559	7786	6118
560	7798	6102
561	7810	6087
562	7823	6072
563	7834	6056
564	7846	6041
565	7858	6025
566	7870	6010
567	7882	5994
568	7893	5979
569	7905	5964
570	7917	5948
571	7929	5933
572	7940	5917
573	7954	5903
574	7967	5889
575	7982	5876
576	7994	5860
577	8005	5844
578	8016	5829
579	8028	5813
580	8040	5798
581	8052	5783
582	8063	5767
583	8075	5752
584	8087	5737
585	8098	5721
586	8110	5706
587	8122	5691
588	8137	5678
589	8151	5664
590	8163	5649
591	8175	5634
592	8188	5620
593	8199	5604
594	8211	5589
595	8223	5574
596	8236	5559
597	8248	5544
598	8259	5529
599	8271	5514
600	8283	5499
601	8295	5484
602	8311	5471
603	8324	5457
604	8336	5442
605	8348	5427
606	8360	5412
607	8372	5398
608	8384	5383
609	8396	5368
610	8408	5353
611	8419	5338
612	8431	5322
613	8443	5307
614	8455	5293
615	8466	5278
616	8478	5262
617	8501	5254
618	8513	5240
619	8526	5225
620	8538	5210
621	8549	5195
622	8561	5181
623	8573	5166
624	8584	5150
625	8596	5136
626	8608	5121
627	8620	5106
628	8632	5091
629	8644	5076
630	8655	5061
631	8667	5046
632	8681	5033
633	8695	5019
634	8707	5005
635	8720	4990
636	8731	4975
637	8743	4961
638	8759	4948
639	8770	4933
640	8786	4920
641	8797	4905
642	8808	4890
643	8820	4876
644	8832	4861
645	8844	4846
646	8869	4839
647	8882	4824
648	8894	4810
649	8906	4795
650	8917	4780
651	8929	4765
652	8941	4751
653	8953	4736
654	8965	4722
655	8977	4707
656	8989	4692
657	9000	4678
658	9012	4663
659	9023	4648
660	9038	4635
661	9053	4622
662	9064	4607
663	9076	4593
664	9088	4578
665	9100	4563
666	9111	4548
667	9123	4534
668	9136	4520
669	9148	4505
670	9160	4491
671	9171	4476
672	9182	4461
673	9195	4447
674	9206	4432
675	9225	4421
676	9238	4407
677	9249	4393
678	9261	4378
679	9273	4364
680	9285	4349
681	9297	4335
682	9308	4320
683	9319	4305
684	9331	4291
685	9343	4276
686	9354	4262
687	9366	4247
688	9378	4233
689	9389	4218
690	9402	4204
691	9420	4193
692	9432	4178
693	9444	4164
694	9456	4149
695	9468	4135
696	9480	4121
697	9491	4106
698	9503	4092
699	9514	4077
700	9526	4063
701	9537	4048
702	9549	4034
703	9561	4020
704	9580	4009
705	9592	3994
706	9604	3980
707	9616	3966
708	9628	3951
709	9640	3937
710	9652	3923
711	9663	3908
712	9675	3894
713	9687	3880
714	9699	3866
715	9714	3853
716	9726	3838
717	9737	3824
718	9749	3810
719	9764	3797
720	9778	3783
721	9789	3769
722	9801	3755
723	9812	3740
724	9824	3726
725	9836	3712
726	9848	3698
727	9859	3683
728	9871	3669
729	9882	3655
730	9894	3640
731	9905	3626
732	9917	3612
733	9929	3598
734	9944	3585
735	9956	3571
736	9969	3557
737	9980	3543
738	9992	3529
739	10004	3515
740	10015	3500
741	10027	3486
742	10038	3472
743	10050	3458
744	10062	3444
745	10073	3430
746	10085	3415
747	10097	3401
748	10108	3387
749	10132	3377
750	10143	3363
751	10155	3349
752	10167	3335
753	10179	3321
754	10190	3306
755	10202	3292
756	10214	3278
757	10225	3264
758	10237	3250
759	10249	3236
760	10261	3222
761	10273	3208
762	10285	3194
763	10298	3181
764	10312	3167
765	10325	3154
766	10336	3140
767	10348	3126
768	10360	3112
769	10371	3098
770	10384	3084
771	10395	3070
772	10407	3056
773	10419	3042
774	10430	3028
775	10442	3014
776	10454	3000
777	10465	2986
778	10489	2975
779	10501	2961
780	10513	2948
781	10524	2933
782	10536	2919
783	10547	2906
784	10559	2892
785	10571	2878
786	10582	2864
787	10594	2850
788	10605	2836
789	10617	2822
790	10631	2809
791	10643	2795
792	10655	2781
793	10683	2771
794	10695	2758
795	10707	2744
796	10719	2730
797	10730	2716
798	10742	2702
799	10754	2688
800	10765	2674
801	10777	2660
802	10788	2646
803	10800	2632
804	10812	2619
805	10823	2605
806	10835	2591
807	10846	2577
808	10858	2563
809	10879	2552
810	10893	2538
811	10905	2524
812	10917	2511
813	10929	2497
814	10940	2483
815	10952	2469
816	10963	2455
817	10975	2441
818	10986	2428
819	10998	2414
820	11010	2400
821	11021	2386
822	11033	2372
823	11045	2359
824	11059	2345
825	11076	2333
826	11088	2319
827	11100	2305
828	11112	2292
829	11123	2278
830	11135	2264
831	11147	2250
832	11159	2237
833	11171	2223
834	11183	2209
835	11194	2196
836	11206	2182
837	11218	2168
838	11230	2154
839	11242	2141
840	11259	2128
841	11271	2115
842	11283	2101
843	11295	2087
844	11307	2074
845	11319	2060
846	11331	2046
847	11343	2033
848	11355	2019
849	11367	2005
850	11378	1992
851	11390	1978
852	11403	1965
853	11416	1951
854	11432	1938
855	11444	1925
856	11456	1911
857	11468	1898
858	11480	1884
859	11491	1870
860	11503	1857
861	11541	1847
862	11568	1836
863	11580	1822
864	11606	1811
865	11622	1798
866	11652	1787
867	11686	1777
868	11699	1763
869	11728	1752
870	11763	1742
871	11776	1728
872	11811	1718
873	11826	1704
874	11847	1692
875	11860	1678
876	11875	1665
877	11914	1655
878	11950	1645
879	11963	1631
880	12001	1621
881	12019	1608
882	12040	1595
883	12074	1584
884	12103	1572
885	12115	1558
886	12127	1544
887	12139	1531
888	12151	1517
889	12163	1503
890	12174	1489
891	12197	1476
892	12209	1462
893	12220	1449
894	12232	1435
895	12244	1421
896	12256	1407
897	12267	1393
898	12279	1379
899	12291	1365
900	12302	1351
901	12314	1337
902	12326	1324
903	12338	1310
904	12349	1296
905	12360	1282
906	12375	1268
907	12391	1255
908	12403	1241
909	12415	1227
910	12426	1214
911	12438	1200
912	12450	1186
913	12461	1172
914	12473	1158
915	12484	1144
916	12496	1131
917	12507	1117
918	12519	1103
919	12531	1089
920	12543	1075
921	12554	1062
922	12568	1048
923	12583	1035
924	12595	1021
925	12610	1007
926	12623	994
927	12634	980
928	12646	966
929	12658	952
930	12670	939
931	12682	925
932	12694	911
933	12706	897
934	12717	884
935	12729	870
936	12752	857
937	12763	843
938	12775	829
939	12787	816
940	12798	802
941	12811	788
942	12824	775
943	12836	761
944	12847	747
945	12859	734
946	12870	720
947	12882	706
948	12893	692
949	12905	679
950	12917	665
951	12931	652
952	12946	638
953	12957	624
954	12969	611
955	12981	597
956	12993	583
957	13005	570
958	13017	556
959	13030	542
960	13041	529
961	13053	515
962	13064	501
963	13076	488
964	13088	474
965	13100	461
966	13112	447
967	13126	433
968	13144	420
969	13156	406
970	13168	393
971	13179	379
972	13191	366
973	13203	352
974	13215	338
975	13226	325
976	13239	311
977	13251	298
978	13262	284
979	13274	270
980	13286	257
981	13297	243
982	13313	230
983	13327	216
984	13339	203
985	13351	189
986	13363	176
987	13374	162
988	13387	148
989	13398	135
990	13409	121
991	13421	108
992	13433	94
993	13444	81
994	13456	67
995	13467	54
996	13484	40
997	13498	27
998	13510	13
999	13522	0
