iter	Logloss
0	0.578173322
1	0.47439672
2	0.3955886934
3	0.3297771994
4	0.2720545719
5	0.2273054938
6	0.1909640017
7	0.1601753021
8	0.1363279085
9	0.1175561719
10	0.1017364703
11	0.08592495179
12	0.07563243592
13	0.06673773783
14	0.05803104974
15	0.05217289157
16	0.04668759897
17	0.0415117318
18	0.03789455593
19	0.03478256099
20	0.03231068189
21	0.02942963031
22	0.02731473299
23	0.02541113068
24	0.02413752776
25	0.02268509959
26	0.02141916891
27	0.02010022097
28	0.01916444172
29	0.01831782954
30	0.01753232516
31	0.01678252054
32	0.01610807862
33	0.01531398093
34	0.0148067812
35	0.0142647204
36	0.01377818108
37	0.01345361119
38	0.01315447291
39	0.01287856025
40	0.01262405213
41	0.01238680812
42	0.01218957921
43	0.01192416974
44	0.01176718844
45	0.01160571299
46	0.011462097
47	0.01133805576
48	0.01121874398
49	0.01109692168
50	0.01102292937
51	0.01087323018
52	0.01080702915
53	0.01071707929
54	0.01048858393
55	0.01042297363
56	0.01017443025
57	0.01013557507
58	0.009974583313
59	0.009927976566
60	0.009880415491
61	0.009693208479
62	0.009609966092
63	0.009420168071
64	0.009257282625
65	0.009236398712
66	0.009141414398
67	0.008980131298
68	0.008840080343
69	0.008694831129
70	0.008560723611
71	0.008519779493
72	0.008406724608
73	0.008297090073
74	0.008178142735
75	0.00814578934
76	0.008050675165
77	0.007965525948
78	0.007877979302
79	0.007831150556
80	0.007736762086
81	0.00765475338
82	0.007602686921
83	0.007563983125
84	0.00747820365
85	0.007402063618
86	0.00734531876
87	0.007253899019
88	0.0072266262
89	0.007218707423
90	0.00720065313
91	0.007141981887
92	0.007050498199
93	0.006977733594
94	0.00693141854
95	0.00692554205
96	0.006874386602
97	0.006805346666
98	0.006771686429
99	0.006755473462
100	0.0066879358
101	0.006635413995
102	0.006616125041
103	0.006566265482
104	0.006528910036
105	0.006511635434
106	0.006486292627
107	0.006472997612
108	0.00640107282
109	0.006395835347
110	0.006352398166
111	0.006317255283
112	0.006277292423
113	0.006255911482
114	0.0062523146
115	0.006247414483
116	0.006206775083
117	0.00614758704
118	0.006107866582
119	0.00605805207
120	0.005970440517
121	0.005950197353
122	0.005946739721
123	0.005916620956
124	0.005910023747
125	0.005852580537
126	0.005801208226
127	0.005764186186
128	0.005722831088
129	0.005677881773
130	0.005630148416
131	0.005597761447
132	0.005580853783
133	0.005545470706
134	0.005487372647
135	0.005458223578
136	0.005451536658
137	0.00544024096
138	0.005393347745
139	0.005388451398
140	0.005382753507
141	0.00537588924
